Unnamed: 0,has_applied,v1,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v2,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v3,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v4,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v5,v50,v51,v52,v53,v54,v55,v56,v6,v7,v8,v9,JobTitle_0.0,JobTitle_1.0,JobTitle_2.0,JobTitle_3.0,JobTitle_4.0,JobTitle_5.0,JobTitle_6.0,JobTitle_7.0,JobTitle_8.0,JobTitle_9.0,JobTitle_10.0,JobTitle_11.0,JobTitle_12.0,JobTitle_13.0,JobTitle_14.0,JobTitle_15.0,JobTitle_16.0,JobTitle_17.0,JobTitle_18.0,JobTitle_19.0,JobTitle_20.0,JobTitle_21.0,JobTitle_22.0,JobTitle_23.0,JobTitle_24.0,JobTitle_25.0,JobTitle_26.0,JobTitle_27.0,JobTitle_28.0,JobTitle_29.0,JobTitle_30.0,JobTitle_31.0,JobTitle_32.0,JobTitle_33.0,JobTitle_34.0,JobTitle_35.0,JobTitle_36.0,JobTitle_37.0,JobTitle_38.0,JobTitle_39.0,JobTitle_40.0,JobTitle_41.0,JobTitle_42.0,JobTitle_43.0,JobTitle_44.0,JobTitle_45.0,JobTitle_46.0,JobTitle_47.0,JobTitle_48.0,JobTitle_49.0,JobTitle_50.0,JobTitle_51.0,JobTitle_52.0,JobTitle_53.0,JobTitle_54.0,JobTitle_55.0,JobTitle_56.0,JobTitle_57.0,JobTitle_58.0,JobTitle_59.0,JobTitle_60.0,JobTitle_61.0,JobTitle_62.0,JobTitle_63.0,JobTitle_64.0,JobTitle_65.0,JobTitle_66.0,JobTitle_67.0,JobTitle_68.0,JobTitle_69.0,JobTitle_70.0,JobTitle_71.0,JobTitle_72.0,JobTitle_73.0,JobTitle_74.0,JobTitle_75.0,JobTitle_76.0,JobTitle_77.0,JobTitle_78.0,JobTitle_79.0,JobTitle_80.0,JobTitle_81.0,JobTitle_82.0,JobTitle_83.0,JobTitle_84.0,JobTitle_85.0,JobTitle_86.0,JobTitle_87.0,JobTitle_88.0,JobTitle_89.0,JobTitle_90.0,JobTitle_91.0,JobTitle_92.0,JobTitle_93.0,JobTitle_94.0,JobTitle_95.0,JobTitle_96.0,JobTitle_97.0,JobTitle_98.0,JobTitle_99.0,JobTitle_100.0,JobTitle_101.0,JobTitle_102.0,JobTitle_103.0,JobTitle_104.0,JobTitle_105.0,JobTitle_106.0,JobTitle_107.0,JobTitle_108.0,JobTitle_109.0,JobTitle_110.0,JobTitle_111.0,JobTitle_112.0,JobTitle_113.0,JobTitle_114.0,JobTitle_115.0,JobTitle_116.0,JobTitle_117.0,JobTitle_118.0,JobTitle_119.0,JobTitle_120.0,JobTitle_121.0,JobTitle_122.0,JobTitle_123.0,JobTitle_124.0,JobTitle_125.0,JobTitle_126.0,JobTitle_127.0,JobTitle_128.0,JobTitle_129.0,JobTitle_130.0,JobTitle_131.0,JobTitle_132.0,JobTitle_133.0,JobTitle_134.0,JobTitle_135.0,JobTitle_136.0,JobTitle_137.0,JobTitle_138.0,JobTitle_139.0,JobTitle_140.0,JobTitle_141.0,JobTitle_142.0,JobTitle_143.0,JobTitle_144.0,JobTitle_145.0,JobTitle_146.0,JobTitle_147.0,JobTitle_148.0,JobTitle_149.0,JobTitle_150.0,JobTitle_151.0,JobTitle_152.0,JobTitle_153.0,JobTitle_154.0,JobTitle_155.0,salary_dummy_0.0,salary_dummy_1.0
0,1.0,0.62,0.02,0.1,0.08,0.42,0.82,0.15,0.45,0.64,0.59,0.37,0.04,0.55,0.32,0.26,0.89,0.98,0.485,0.63,0.1,0.87,0.39,0.37,0.4475,0.85,0.96,0.93,0.24,0.97,0.27,0.17,0.81,0.68,0.96,0.86,0.67,0.31,0.61,0.18,0.29,0.43,0.59,0.9,0.74,0.03,0.21,0.23,0.81,0.95,0.8,0.15,0.71,0.75,0.35,0.34,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.0,0.97,0.87,0.5,1.0,0.18,0.61,0.25,0.85,0.35,0.44,0.76,0.84,0.78,0.95,0.53,0.04,0.03,0.4966666666666668,0.95,0.75,0.95,0.93,0.04,0.29,0.55,0.9,0.34,0.7,0.96,0.21,0.84,0.06,0.72,0.19,0.16,0.86,0.32,0.86,0.2,0.93,0.13,0.69,0.76,0.36,0.76,0.75,0.86,0.68,0.32,0.7,0.4,0.56,0.99,0.07,0.1,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1.0,0.24,0.55,0.52,0.4,0.64,0.5075000000000001,0.18,0.4,0.86,0.2,0.34,0.56,0.53,0.54,0.43,0.67,0.31,0.4579999999999999,0.1,0.82,0.08,0.23,0.12,0.61,0.1,0.04,0.28,0.38,0.91,0.34,0.94,0.5,0.44375,0.79,0.01,0.98,0.4,0.15,0.9,0.39,0.75,0.66,0.26,0.13,0.71,0.68,0.61,0.49,0.26,0.65,0.76,0.98,0.26,0.51,0.98,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1.0,0.0,0.43,0.25,0.24,0.71,0.21,0.98,0.38,0.72,0.4715789473684211,0.94,0.25,0.86,0.05,0.84,0.8,0.96,0.5660000000000001,0.22,0.63,0.61,0.43,0.45,0.02,0.28,0.82,0.77,0.91,0.02,0.13,0.03,0.81,0.08,0.55,0.64,0.22,0.18,0.14,1.0,0.89,0.2,0.23,0.26,0.2,0.15,0.99,0.41,0.24,0.1,0.19,0.52,0.74,0.23,0.31,0.08,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1.0,0.84,0.48,0.76,0.45,0.52,0.81,0.29,0.48,0.55,0.6,0.57,0.42,0.17,0.48,0.42,0.88,0.72,0.5766666666666667,0.02,0.48,0.22,0.41,0.63,0.7033333333333333,0.0,0.69,0.0,0.9,0.61,0.68,0.51,0.16,0.79,0.87,0.49,0.85,0.1,0.6088888888888887,0.85,0.0,0.49,0.14,0.71,0.51,0.3,0.29,0.61,0.77,0.35,0.93,0.72,0.12,0.09,0.58,0.09,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1.0,0.39,0.62,0.98,0.06,0.68,0.67,0.1,0.67,0.49,0.48,0.71,0.49,0.28,0.15,0.76,0.26,0.25,0.8,0.65,0.13,0.13,0.02,0.87,0.92,0.96,0.64,0.73,0.15,0.25,0.92,0.28,0.78,0.09,0.43,0.4675,0.47,0.59,0.94,0.46,0.9,0.49,0.87,0.29,0.28,0.51,0.55,0.64,0.53,0.97,0.14,0.11,0.55,0.12,0.13,0.49,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0.0,0.7,0.08,0.18,0.09,0.14,0.09,0.43,0.01,0.83,0.35,0.16,0.42,0.5,0.53,0.67,0.02,0.92,,0.17,0.12,0.7,0.43,0.2,0.99,0.03,0.44,0.5033333333333333,0.34,0.01,0.16,0.31,0.63,0.4,0.57,0.56,0.22,0.69,0.53,0.99,0.96,0.97,0.41,0.31,0.65,0.16,0.35,0.95,0.56,0.53,0.27,0.32,0.37,0.61,0.62,0.6,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.0,0.57,0.64,0.76,0.07,0.06,0.49,0.97,0.13,0.1,0.47,0.28,0.37,0.6,0.52,0.09,0.56,0.61,,0.86,0.73,0.88,0.45,0.26,0.325,0.52,0.52,0.55,0.82,0.85,0.57,0.21,0.37,0.23,0.08,0.67,0.31,0.4,0.68,0.04,0.92,0.21,0.98,0.35,0.59,0.32,0.11,0.24,0.56,0.74,0.47,0.92,0.13,0.305,0.73,0.27,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1.0,0.85,0.79,0.57,0.52,0.64,0.04,0.95,0.81,0.45,0.32,0.02,0.78,0.96,0.55,0.49,0.77,0.34,0.4,0.63,0.58,0.87,0.33,0.07,0.37833333333333335,0.31,0.96,0.94,0.6,0.96,0.36,0.31,0.09,0.34,0.03,0.5562500000000001,0.55,0.72,0.65,0.93,0.63,0.3,0.28,0.39,0.11,0.02,0.12,0.07,0.34,0.26,0.03,0.66,0.25,0.1,0.45,0.45,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,0.0,0.77,0.63,0.29,0.97,0.26,0.09,0.57,0.4,0.4,0.34,0.5,0.2,0.17,0.28,1.0,0.88,0.03,0.22,1.0,1.0,0.51,0.76,0.02,0.52,0.79,0.98,0.99,0.8,0.12,0.46,0.08,0.76,0.32799999999999996,0.5,0.64,0.4560000000000001,0.89,0.17,0.35,0.1,0.43,0.35,0.96,0.64,0.03,0.04,0.75,0.36,0.61,0.42,0.73,0.59,0.86,0.24,0.73,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
